idx,question,choice_A,choice_B,choice_C,choice_D,correct_answer,domain,label,task,annotator_id,question_comments,choices_comments
591,"A savings account starts with \$300 and gains a fixed amount of \$25 interest each week. No more money was deposited into the account while the interest was being . If the balance is represented by the function $B(w) = 25w + 300$, where $w$ represents the number of weeks, after how many weeks will the balance reach \$600?",8 weeks,12 weeks,24 weeks,30 weeks,B,Algebra,Linear functions,"Evaluate a linear function given an input value, or find the input value for a corresponding output.",Annotator 3,"I changed the wording to indicate that the $25 was a fixed amount of interest and also added language to indicate no additional deposits were made (it's important for the reader to know that no additional money was added during the time frame). I also changed the ""is"" when defining $w$ to say, ""represents."" 
I also want to note that students may not be inspired to read the prompt since you can just plug in any of the answers into the equation and get the correct answer without knowing anything about the context.",None || None || None || None
575,An elevator starts at the ground floor and moves between floors at a constant rate. The equation $y = -2x + 10$ models the floor number $y$ of the elevator $x$ seconds after it begins descending from the 10th floor. What does the slope of the line represent?,The number of floors the elevator ascends per second,The total number of floors the elevator descends,The number of floors the elevator descends per second,The number of seconds it takes to descend one floor,C,Algebra,Linear functions,Interpret the graph of a linear function in a context.,Annotator 3,"The negative slope means that as time passes, the elevator is descending. If they wanted a number of floors per second, it should say the number, or modify the choices to address just the negative sign of the slope. Also, the ""when graphed in the xy-plane"" is irrelevant. I took that part out.",None || None || None || None
567,"A community pool starts with 2500 gallons of water, but loses 4 gallons of water per day due to evaporation. Which linear function represents the amount of water, $W(d)$, in gallons remaining in the pool after d days?",W(d) = (2500 - 4)d,W(d) = 2500 - 4d,W(d) = 2500 + 4d,W(d) = -4d + 2500,B,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 3,Changed the order of the starting amount and the losing amount to make it read more easily.,None || None || None || None
615,"A theater company's profit decreases linearly as the number of rows get farther from the stage. Seats that are 5 rows from the stage generate \$80 profit for each seat in that row, while seats 15 rows from the stage generate \$50 profit for each seat in that row. Which equation represents the company's profit $p(r)$, in dollars, for a seat that is $r$ rows from the stage?",$p(r) = 3r + 65$,$p(r) = -3r + 75$,$p(r) = 3r + 30$,$p(r) = -3r + 95$,D,Algebra,Linear functions,Write the rule for a linear function given two input/output pairs or one input/output pair and the rate of change.,Annotator 3,"Updated the language slightly to make it less robot-like. I also changed option (c) because it is much more complicated-looking. If students are confused, they'd probably choose that one since it's so different.",None || None || None || None
514,"A taxi service charges a base fare plus a fee per mile traveled. The equation $y = 3.50 + 2.25x$ represents the total cost $y$, in dollars, for traveling $x$ miles. What does the y-intercept for the given equation represent?",The base fare charged before the trip begins,The cost per mile charged during the trip,The total cost of the trip when completed,The number of miles traveled in the trip,A,Algebra,Linear functions,Interpret the graph of a linear function in a context.,Annotator 4,"Graphing isn't necessary for this question, therefore I'm not sure the task topic is correct. Revised question stem.",None || None || None || None
616,"A restaurant's daily revenue can be modeled by the equation $R = 800 + 45c$, where $R$ is the revenue in dollars and $c$ is the number of customers served. How many customers must the restaurant serve to reach a daily revenue of \$1,610?",16,18,19,36,B,Algebra,Linear functions,"For a linear function that represents a context, given an input value, find and interpret the output value using the given representation, or given an output value, find and interpret the input value using the given representation, if it exists.",Annotator 4,This question is more of an inequality than an equation. Revision to equation made to fit the assigned task topic (equations). Answer choices left the same.,None || None || None || None
612,"A machine produces widgets at a constant rate throughout the day. After 3 hours of operation, it has produced 180 widgets, and after 7 hours, it has produced 420 widgets. Which function represents the number of widgets, $W(h)$, produced after $h$ hours of operation?",$W(h) = 40h$,$W(h) = 60h$,$W(h) = 60h + 60$,$W(h) = 240h$,B,Algebra,Linear functions,Write the rule for a linear function given two input/output pairs or one input/output pair and the rate of change.,Annotator 4,"Replaced ""equation"" with ""function."" ",None || None || None || None
505,"A sculpture studio rents workspace for \$75 per week plus \$12 per square foot of storage. If an artist's monthly bill is \$480 and there are 4 weeks in a month, how many square feet of storage is the artist renting?",10,15,20,26.25,B,Algebra,Linear functions,Create and use linear functions to solve problems in a variety of contexts.,Annotator 4,"Original question would have had option A be the correct answer at 1.25 sqft for storage. Adjusted the question stem to have an equation that allowed for option B to be correct, and changed option A to be more in line with the other answer options.",None || None || None || None
588,"A local store offers movies for rental. The total rental cost in dollars is given by $C = 1.99 + 0.35t$, where $t$ represents the rental time in days. What does $0.35$ represent in this equation?",The cost in dollars charged per hour of renting,The cost in dollars charged per day of renting,The cost in dollars charged per movie rented,The fixed cost in dollars charged per rental,B,Algebra,Linear functions,"For a linear function that represents a context, interpret the meaning of an input/output pair, constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 2,"I'm not 100% comfortable saying that ""streaming service"" is common enough for students that they would understand this context.  Perhaps it could be updated as suggested above.",None || None || None || None
612,"A machine produces widgets at a constant rate throughout the day. After 3 hours of operation, it has produced 180 widgets, and after 7 hours, it has produced 420 widgets. Which equation represents the number of widgets, $W(h)$, produced after $h$ hours of operation?",$W(h) = 40h$,$W(h) = 60h$,$W(h) = 60h + 60$,$W(h) = 240h$,B,Algebra,Linear functions,Write the rule for a linear function given two input/output pairs or one input/output pair and the rate of change.,Annotator 2,"I hate the use of the term ""widgets"". The problem might as well say ""stuff"" or ""things"". One can be more specific while still ensuring the reader knows what it is. The idea behind this task is really to be able to create a rule that has both a rate and a constant (other than 0 because otherwise you are just finding rate). This problem does not require the student to find the rate using the slope formula since they get the rate by dividing widgets/hours and it's the same for both. ",None || None || None || None
