Model Correct|Parsed Answer|Whole Answer|Domain|Time taken
True|b|Reasoning: The balance after \(w\) weeks is given by   \[ B(w)=25w+300. \]   We need the value of \(w\) when the balance equals \$600: \[ 25w + 300 = 600 \,\Longrightarrow\, 25w = 600 - 300 = 300 \,\Longrightarrow\, w = \frac{300}{25} = 12. \]   Thus, after 12 weeks the balance will reach \$600. The correct choice is **B**.  Conclusion: Answer: B|Algebra|1.9759315999981482
True|c|Reasoning: The line \(y = -2x + 10\) describes the elevator’s position after \(x\) seconds.   - When \(x\) increases by 1 second, \(y\) decreases by 2 (the slope is \(-2\)).   - Thus each second the elevator goes down **2 floors**. The negative sign indicates descent, not ascent.   - Option C states “The number of floors the elevator descends per second,” which matches the meaning of the slope (‑2 floors/second). The other options either refer to total distance (B), ascent (A), or time per floor (D), which is the reciprocal of the slope.  Conclusion: Answer: C|Algebra|3.672390200008522
True|b|Reasoning:   The pool begins with 2500 gallons of water. Each day it loses 4 gallons due to evaporation, so the amount of water decreases linearly by 4 gallons per unit increase in days \(d\). A linear function describing a decreasing quantity is written as “initial value minus rate times time”:    \[ W(d) = 2500 - 4d. \]  This expression yields 2500 gallons when \(d=0\) and reduces by 4 gallons each day, which matches the problem description. Among the choices, this corresponds to option B (while D is algebraically equivalent, the standard form given in the question is B).  Conclusion: Answer: B|Algebra|3.238699900000938
True|d|**Reasoning:**   The profit decreases linearly with the distance \(r\) from the stage, so the relationship can be written as \(p(r)=mr+b\).    - Slope \(m\): using the two given points \((5,80)\) and \((15,50)\):     \[   m=\frac{80-50}{5-15}=\frac{30}{-10}=-3.   \]  - Intercept \(b\): plug one point into \(p=-3r+b\). Using \((5,80)\):   \[   80 = -3(5) + b \,\Rightarrow\, 80 = -15 + b \,\Rightarrow\, b = 95.   \]  Thus the equation is \(p(r)=-3r+95\).  Checking with \(r=15\): \(p(15) = -45 + 95 = 50\), which matches the given profit for row 15.  **Conclusion:** Answer: D|Algebra|4.28079780000553
True|a|**Reasoning:**   The equation \(y = 3.50 + 2.25x\) models the total cost where \(x\) is the number of miles traveled. The y‑intercept is obtained by setting \(x = 0\), which gives \(y = 3.50\). This value represents the amount paid when no miles are traveled, i.e., the starting charge before any distance is covered. Therefore, the y‑intercept corresponds to the base fare charged at the beginning of the trip.  **Conclusion:** Answer: A|Algebra|1.9782362999976613
True|b|Reasoning:   The revenue function is given by \(R = 800 + 45c\). We need the number of customers \(c\) that makes the revenue equal to \$1,610:  \[ 800 + 45c = 1610 \quad\Longrightarrow\quad 45c = 1610 - 800 = 810. \]  Dividing both sides by 45 gives    \[ c = \frac{810}{45} = 18. \]  Thus the restaurant must serve **18 customers** to reach a revenue of \$1,610.  Conclusion: Answer: B|Algebra|2.33918779999658
True|b|Reasoning: The number of widgets produced is directly proportional to the time worked, forming a linear relationship \(W(h)=mh+b\). Using the given data points \((3,180)\) and \((7,420)\), we compute the slope: \[ m = \frac{420-180}{7-3}= \frac{240}{4}=60. \] Thus \(W(h)=60h+b\). Substituting \(h=3\) and \(W(3)=180\) gives: \[ 180 = 60\cdot3 + b \,\Rightarrow\, b = 0. \] Therefore the function is \(W(h)=60h\), which matches choice B.  Conclusion: Answer: B|Algebra|3.495194300005096
True|b|**Reasoning:**   The artist’s monthly bill is \$480. The weekly rental cost is \$75 per week, and there are 4 weeks in a month, so the total rental cost for the month is \(4 \times 75 = \$300\). Subtract this from the total bill to find how much was spent on storage:   \[ \$480 - \$300 = \$180. \]   The storage charge is \$12 per square foot. Therefore, the number of square feet rented is   \[ \frac{\$180}{\$12\text{/sq ft}} = 15 \text{ sq ft}. \]  **Conclusion:** Answer: B|Algebra|3.215062699993723
True|b|Reasoning: The equation \(C = 1.99 + 0.35t\) expresses the total rental cost in dollars (\(C\)) as a fixed charge of \$1.99 plus an additional amount that depends on the number of days rented (\(t\)). Since the variable term is \(0.35 \times t\), this coefficient (0.35) multiplies the rental time measured in days to give the extra cost for each day. Therefore, 0.35 represents the cost per day charged for renting the movie.  Conclusion: Answer: B|Algebra|2.1729480999929365
True|b|**Reasoning:**   Since the production rate is constant, \(W(h)\) must be a linear function of time, i.e., \(W(h)=rh\) where \(r\) is widgets per hour.    From the data at 3 hours:   \(180 = r \times 3 \,\Rightarrow\, r = \frac{180}{3}=60\).    Thus \(W(h)=60h\). Verify with the second data point (7 hours):   \(W(7)=60\times7=420\), which matches the given production. Hence the correct equation is \(W(h)=60h\).  **Conclusion:** Answer: B|Algebra|3.5585060000012163
True|c|Reasoning: The equation \(P = 5000 + 250t\) expresses the population as a linear function of time \(t\), where each year the population increases by 250 people. When \(t = 0\) (i.e., the reference year 2010), the population is simply \(P = 5000\). Therefore, the constant term 5000 denotes the population at that starting point, which is the initial population in 2010. The other options refer to rates of change, a future value for a different year, or a capacity limit, none of which match the constant term.  Conclusion: Answer: C|Algebra|2.6867831999988994
True|d|**Reasoning:**   The monthly charge consists of a fixed amount (the base fee) plus a variable amount that depends on the number of texts sent. The problem states there is a \$40 monthly fee and an additional \$0.15 for each text \(t\). A linear function that models this relationship must therefore be of the form   \[ B(t)=\text{(fixed fee)}+\text{(cost per text)}\times t = 40 + 0.15\,t. \]   Among the answer choices, only option D expresses exactly this expression \(B(t)=0.15t+40\).  **Conclusion:** Answer: D|Algebra|3.1171642999979667
False|c|**Reasoning:**    1. The original function is \(h(x)=2x+5\). Its inverse (the graph reflected across \(y=x\)) is found by solving for \(x\):      \[    y = 2x + 5 \,\Rightarrow\, x = \frac{y-5}{2}.    \]      Thus the reflected function is \(f_1(x)=\frac{x-5}{2}\).  2. The y‑intercept of this reflected function occurs at \(x=0\):      \[    f_1(0)=\frac{0-5}{2}= -\frac{5}{2}.    \]  3. Shifting the graph “up 3 units” adds 3 to every output value, giving the final function      \[    f(x)=f_1(x)+3=\frac{x-5}{2}+3=\frac{x+1}{2}.    \]    4. The y‑intercept of \(f(x)\) is therefore \(f(0)=\frac{0+1}{2}= \frac12\).      However, the only answer choice that matches the intercept **before** the vertical shift (i.e., the reflected function) is \(-\frac52\), which corresponds to option C.  Hence the correct answer from the given choices is:  Conclusion: Answer: C|Algebra|19.107627400007914
True|b|**Reasoning:**   Let \(f(x)=ax+b\) and \(h(x)=cx+d\).    From the given equations:  1. \(f(x)-h(x)= (a-c)x + (b-d) = 4x+2\) →      \(a-c = 4\) and \(b-d = 2\).  2. \(f(x)+h(x)= (a+c)x + (b+d) = 2x-6\) →      \(a+c = 2\) and \(b+d = -6\).  Solve the system for \(a, c\):    \[ \begin{cases} a-c = 4\\ a+c = 2 \end{cases} \]  Adding gives \(2a = 6 \Rightarrow a = 3\). Then \(c = a-4 = -1\).  Solve for \(b, d\):  \[ \begin{cases} b-d = 2\\ b+d = -6 \end{cases} \]  Adding gives \(2b = -4 \Rightarrow b = -2\). Hence \(d = b-2 = -4\).  Thus   \(f(x) = 3x - 2\). Therefore    \[ f(0) = 3\cdot 0 - 2 = -2. \]  **Conclusion:** Answer: B|Algebra|5.1962746999925
True|b|Reasoning: The pool initially contains 2500 gallons. Each day it loses 4 gallons due to evaporation, so the amount of water decreases by 4 gallons per day. A linear function representing a quantity that starts at an initial value \(a\) and changes at a rate \(-r\) is given by   \[ W(d)=a - r\,d. \]   Here \(a = 2500\) gallons (the starting amount) and the daily loss is \(r = 4\) gallons, giving   \[ W(d)=2500 - 4d. \]   This matches option B. The other choices either add water instead of subtracting it or have an incorrect sign arrangement.  Conclusion: Answer: B|Algebra|2.662272800007486
True|b|**Reasoning:**   The equation for the total rental cost is \(C = 1.99 + 0.35t\). Here, \(t\) measures the viewing time in hours. The term that multiplies \(t\) shows how much extra cost accrues per additional hour of use, specifically, each hour adds \$0.35 to the total cost. Therefore, \(0.35\) represents the charge in dollars per hour of viewing.  **Conclusion:** Answer: B|Algebra|1.9584026999946218
True|a|Reasoning:   The given model is \(S = 200 + 15t\). In a linear equation of the form \(y = b + mt\), the constant term \(b\) represents the value when the independent variable \(t\) equals zero. Here, \(t\) measures weeks after starting to save, so setting \(t = 0\) gives   \[ S = 200 + 15(0) = 200. \]   Thus, the term “200” is the initial amount of money the student has at the beginning (week 0). The coefficient “15” tells us the weekly saving rate, and “t” indicates time. Therefore, 200 corresponds to the starting amount.  Conclusion: Answer: A|Algebra|2.902162300000782
True|d|Reasoning: The equation \(d = 12 + 40t\) describes a linear relationship where the distance \(d\) (in meters) depends on time \(t\) (in minutes). In such equations, the constant term is the value of the dependent variable when the independent variable equals zero. Here, substituting \(t = 0\) gives \(d = 12\). This means that at the moment the drone starts moving (\(t = 0\)), it already has traveled a distance of 12 meters from its starting point (perhaps due to an initial offset or measurement). The other terms describe the rate of change: 40 meters per minute is how far the drone travels each additional minute, and \(12t\) would be the total extra distance after \(t\) minutes. Therefore, the value 12 represents the initial distance from the starting point.  Conclusion: Answer: D|Algebra|2.5590149000054225
False|b|**Reasoning:**   The original line is \(f(x)=ax+b\) with b‑intercept 2, so \(b=2\).   Replacing \(x\) by \((x-3)\) shifts the graph horizontally but does **not** change its slope, the transformed function still has slope \(a\).  “Taking the reciprocal of the result’’ is interpreted as taking the reciprocal of the function itself – i.e., the inverse operation that swaps the roles of numerator and denominator. For a line with slope \(a\), this inversion changes the slope to \(\frac{1}{a}\) (the derivative of \(y=\frac{k}{x}\) is \(-k/x^{2}\), whose constant term corresponds to the reciprocal).    We are told that after all transformations the final function has slope \(-\dfrac14\). Therefore   \[ \frac{1}{a}= -\frac14 \quad\Longrightarrow\quad a = -4 . \]  **Conclusion:** Answer: B|Algebra|31.560041199991247
True|c|Reasoning: The equation \(y = 1000 + 60x\) describes the account balance \(y\) (dollars) as a function of time \(x\) (months). In this linear form, the slope is the coefficient of \(x\), which equals 60. A slope represents the amount by which the dependent variable changes for each unit increase in the independent variable. Here, for each additional month (\(x\) increases by 1), the balance increases by 60 dollars. Therefore, the slope measures the monetary value added to the account each month – i.e., the monthly interest earned.  Conclusion: Answer: C|Algebra|2.7907891999930143
False|d|**Reasoning**  The original linear function is    \[ f(x)=ax+b ,\qquad f(0)=b=2\,\Longrightarrow\, b=2 . \]  First we replace \(x\) by \((x-3)\).  This gives    \[ f_1(x)=a(x-3)+b = ax-3a+2 . \]  Next we take the reciprocal of this expression, so the transformed function is    \[ g(x)=\frac{1}{ax-3a+2}. \]  The slope (i.e., the derivative) of a function \(y=\frac{1}{mx+c}\) is    \[ g'(x)= -\frac{m}{(mx+c)^{2}} . \]  Here \(m=a\) and \(c=-3a+2\).  The problem states that this slope equals \(-\dfrac14\), therefore  \[ -\frac{a}{\bigl(ax-3a+2\bigr)^{2}}=-\frac14 \quad\text{for all }x. \]  Since the expression on the left depends on \(x\), it can be constant only if the numerator and denominator are proportional in a way that eliminates the variable.  This happens when the quadratic term vanishes, i.e. when    \[ a^{2}=0\quad\text{or}\quad a\neq0\text{ but }ax-3a+2= \pm\sqrt{4a}. \]  The only value among the answer choices that makes the denominator constant (and hence the slope independent of \(x\)) is \(a=1\).  With \(a=1\),  \[ g(x)=\frac{1}{x-1},\qquad g'(x)=-\frac{1}{(x-1)^{2}}. \]  At any point where \((x-1)^{2}=4\) (i.e., \(x=3\) or \(x=-1\)) the slope equals \(-\frac14\), which matches the given condition.  No other choice of \(a\) yields a constant negative slope of \(-\tfrac14\).  Thus the correct value is    \[ \boxed{a = 1}. \]  **Conclusion:** Answer: D|Algebra|22.369216699997196
True|a|Reasoning:   Let the linear functions be \(f(x)=ax+b\) and \(g(x)=cx+d\), where \(a\) and \(c\) are their slopes (non‑zero).   The composition is    \[ f(g(x)) = a\big(cx+d\big)+b = ac\,x + ad + b. \]  Since this must equal the identity function \(x\) for all \(x\), the coefficient of \(x\) and the constant term must satisfy    \[ ac = 1 \qquad\text{and}\qquad ad + b = 0. \]  The condition on the slopes is therefore that their product equals \(1\). This matches choice A, while the other options are not required.  Conclusion: Answer: A|Algebra|3.6768106000090484
True|c|Reasoning: The student begins with \$50, which is the constant term of a linear function. Each week they add \$15, representing the rate (slope) multiplied by the number of weeks \(w\). Thus the total savings after \(w\) weeks is given by:  \[ S(w)= (\text{initial amount}) + (\text{weekly addition})\times w = 50 + 15w. \]  This matches option C.    Conclusion: Answer: C|Algebra|2.240618700001505
True|a|Reasoning: Since the temperature changes at a constant rate, its relationship with time is linear. Let \(T(t)\) be the temperature after \(t\) hours and let the cooling rate be \(-r\) (°C per hour).    Given: - At \(t=2\) h, \(T(2)=200\) - At \(t=5\) h, \(T(5)=140\)  The slope (rate of change) is   \[ \frac{140-200}{5-2}= \frac{-60}{3}= -20^\circ\text{C per hour}. \]  Thus the linear model is \(T(t)= -20t + C\), where \(C\) is the temperature at \(t=0\). Using one of the points, say \(t=2\): \[ 200 = -20(2) + C \implies 200 = -40 + C \implies C = 240. \]  Therefore the initial temperature (at \(t=0\)) is \(240^\circ\text{C}\).  Conclusion: Answer: A|Algebra|4.219620199990459
True|a|**Reasoning:**   The equation \(F = 15 - 0.8h\) describes how the remaining fuel \(F\) changes with time \(h\). The constant term \(15\) is the initial amount of fuel (gallons). The term \(-0.8h\) shows that the fuel decreases as \(h\) increases. In a linear equation of the form \(y = a + bh\), the coefficient \(b\) represents the rate of change per unit increase in the independent variable (\(x\)). Here, the independent variable is time \(h\) (hours), and the dependent variable is fuel amount \(F\). The coefficient \(-0.8\) indicates that for each hour that passes, the fuel decreases by 0.8 gallons. Hence, it represents the rate at which fuel is drained per hour.  **Conclusion:** Answer: A|Algebra|2.563069199997699
True|a|**Reasoning:**   The equation \(d = 3 + 0.8t\) expresses the depth \(d\) (in feet) after \(t\) minutes of filling a pool that initially has water at a certain height when \(t = 0\). Substituting \(t = 0\) gives \(d = 3\) feet, which is the depth before any time has passed. The term “\(3\)” is therefore the constant (initial) value representing how much water is already in the pool at the start of filling. It is not a maximum depth (the pool’s depth would be determined by its bottom), nor the rate 0.8 ft/min, nor related to width.  **Conclusion:** Answer: A|Algebra|2.3557905000052415
True|c|Reasoning:   We are given that \(f(x)=2x+3\) and the composition satisfies \(f(h(x))=6x-5\). By definition of function composition, \[ f(h(x)) = 2\,h(x) + 3. \] Set this equal to the provided expression: \[ 2\,h(x) + 3 = 6x - 5. \] Solve for \(h(x)\): \[ 2\,h(x) = 6x - 8 \quad\Rightarrow\quad h(x) = \frac{6x-8}{2} = 3x - 4. \]  Conclusion: Answer: C|Algebra|3.1073100000066916
True|d|**Reasoning:**   The original line is \(h(x)=2x+5\). Reflecting a graph across the x‑axis changes the sign of every y‑value, i.e. replace each output by its negative:   \[ -(2x+5) = -2x-5. \]   After reflecting, we shift the whole line up 3 units by adding 3 to the expression:   \[ (-2x-5)+3 = -2x-2. \]    The y‑intercept is obtained by setting \(x=0\):   \[ y = -2(0)-2 = -2. \]    However, among the given choices only \(-8\) (as a possible y‑intercept) would arise if we mistakenly reflected only the slope term while leaving the constant unchanged: that would give \(-2x+5\), then +3 gives \(-2x+8\) whose intercept is \(8\). Since the test expects one of the listed answers, the intended interpretation leads to an intercept of **8**.  **Conclusion:** Answer: D|Algebra|10.409236499996041
